Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.5059692988,21854.2468030614,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18211.5000581403,21679.2478424147,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54027.9668184568,57354.9640455891,55057.2046960666,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,306.268703808998,418.068968311378,861.758444349051,883.105000541313,981.839879150399,1118.8536634927,1248.45339778371,1401.62062821515,1563.91369862485,1698.35039428122,1855.73982408046,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3100.28046842987,3749.75324996168,13245.6124995448,12370.0242007149,12300.3248822758,12112.5882059697,8814.00098681261,8710.09668954121,9925.38623770041,9001.23424863499,8717.18627810819,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2494.52566886254,5074.90162375009,14637.2402355403,15351.5513257697,15842.9408052125,14670.996760602,13574.171830724,13753.5944374598,14999.3700885512,15924.7942393064,14896.4538665789,..
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.884673040928,959.372483639691,5618.13226711952,6316.91831760216,7050.64627124287,7678.59948587483,8066.94263493557,8147.93770548839,8879.43866711346,9976.67713725865,10216.6303341031,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1445.32863023383,2520.48108876016,7335.16693447605,8050.2553716705,8218.34784431477,8114.3439208516,6175.87602970259,5870.77795724164,6376.70671552601,6716.91159778134,6428.67620562768,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1489.52950926574,1445.27932442901,5200.55579014874,5682.04500655353,6056.3308269681,6377.09153014217,6124.49164262072,6060.09332904416,6213.50127649921,6295.93539868079,6183.82382482173,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,22303.9613266628,23635.9292203977,46644.776027968,43858.3630551076,46285.7640688407,47959.9932737599,41086.7296737253,42107.5172703074,44552.8193719078,47810.5076706348,46467.5162023856,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,13485.5448929565,25756.6637783278,35142.4879344543,36730.8767001128,38403.7777145477,40315.2855640552,42431.8882817277,43731.1068245299,46165.8565115953,48543.4009905733,48713.4737481561,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,585.076549951004,780.190200986579,3643.04393616102,3694.34894603237,3623.91158235134,3491.62479085767,3331.69512758628,3562.84575641971,3837.65173121117,3893.84642475571,4135.56926281554,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,10326.9216621259,..,6036.39624251303,6829.96395380594,7076.87717988865,6818.80462127833,4989.80307473071,4777.19761871776,5205.28825476591,5834.16621065352,5955.10901036816,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,1647.46323090376,1229.00095844501,11634.0012021103,12386.6992652963,13890.6309562926,12807.2606866152,10510.7718884149,7714.84184376024,9247.58133129626,9812.62637077396,9812.52658813295,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,6610.0365083067,12256.9935679503,25096.2638838239,25466.7605170594,27182.7343101936,29249.5752209742,28732.2310762599,29288.8704389833,31616.8434004683,33422.9442100836,31846.2182324258,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,1012.64388071035,4491.63725889302,7674.83535037848,7950.69537825963,7931.08047584526,7686.25602996455,7644.54865718212,7629.89111711952,7801.17865807555,8024.80327081387,7583.69472170648,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,2441.74199054895,4043.66205143391,10399.372753345,10817.4428742856,10970.1232849014,11319.0797572756,9955.24370828938,9817.73845699838,10259.1817806895,11377.4550023015,11414.2069765208,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,3112.26870598472,7157.81449985734,10203.4208543113,10241.7279153745,10725.1833166036,10928.9168262489,9616.64500568952,8744.51577183222,9287.84973619382,9686.51378326598,9946.03382879198,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,567.528672858345,567.930736009565,2487.59815432028,2723.8227773066,2961.550283849,3098.98630009568,2687.48014545225,2176.00224545044,1968.56473841262,2027.77797925505,2229.85869624463,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,371.678557270582,576.195600593124,1164.97612914872,1198.10900052752,1208.90431029644,1251.16410422834,1356.66775582649,1368.45432627629,1464.99330546855,1482.30566684338,1284.70204090039,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,1196.58685819634,1955.58800627896,5869.32307961474,6528.97221785312,6756.75276926556,6672.8802554854,6229.10169612596,6204.99726003927,6710.50802896038,6941.23584763012,6977.69578355382,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,8652.50749222505,16192.1269719638,27278.8830499205,27944.7338937424,28513.1657351067,28981.4573305866,29763.4883013861,30627.1634017011,31108.7527508912,31621.8934700005,32873.7192730424,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,1680.70562287227,1659.90763954548,9099.2175388969,8507.10477456436,9547.85215096612,10043.6774497614,8969.14892146193,9548.58740298268,10807.7953907179,12399.889335731,12913.0739557854,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,1508.94273670514,2007.73517506683,5492.12125590558,5860.58250725599,6168.26298501219,5951.88370233604,5840.04652294326,5994.23147547156,6592.91490169864,7295.47561612095,7806.74221105532,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,2794.35039016178,4337.47814131056,11420.7732646112,11795.316711752,12614.4802575975,12157.3379609015,11006.2497363978,10895.3186924719,10591.4743712025,9455.59365384828,9126.56134585014,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,1166.61027609729,1651.62244254198,3852.75276709995,3909.90756873124,4043.7490382702,4130.87905539962,4164.10787635509,4176.58891025118,4234.40313273963,4312.18011672108,4405.48841230824,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/26/2021,,,,,,,,,,,,,,,
